srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,servicecntrid,diff1,diff2,diff3,predicted
2829088,13,3,560011,233,233,0,1,0,560093,4467,-5,-3,-191,13.86235751
2829866,10,2,110018,233,233,1,1,0,110034,4388,-7,-173,-206,13.79249171
2894489,10,3,560011,233,233,1,3,0,590014,4460,-7,-1,-47,14.92187455
2876708,10,2,110018,233,233,1,2,0,250110,4388,-10,-78,-203,15.24698075
2890283,13,22,400104,233,233,0,3,0,496001,4581,-3,-49,-105,15.11365565
2897438,15,6,160059,233,233,0,2,0,160036,4549,-5,-2,-77,13.54687992
2849010,15,2,110018,233,233,1,1,0,110065,4091,-23,-124,-175,15.89106434
2887783,30,2,110018,233,233,1,1,0,110092,4095,-7,-133,-24,16.30898809
2941799,13,21,110015,233,233,0,2,0,124001,4580,-9,-188,-73,13.22077653
2973976,13,22,400104,233,233,0,1,0,400011,4581,-4,308,-299,11.26350413
2977421,21,2,110018,233,233,0,1,0,110006,4154,-6,-6,-78,13.905886
2982990,13,26,560066,233,233,0,1,0,600097,5001,-5,-2,-281,10.50258405
2979785,10,2,110018,233,233,0,1,0,201301,4388,-6,-3,-147,12.48358061
2984029,19,1,400059,233,233,0,2,0,440027,4011,-4,-12,-22,15.5072886
3012909,4,2,110018,233,233,0,1,0,201301,4148,-5,-130,-131,12.48621323
3030307,10,27,110034,233,233,0,1,0,110092,4388,-3,-83,-135,11.20554488
3048314,13,7,500004,233,233,0,1,0,500011,4403,-8,-288,-62,12.11798991
3060524,15,2,110018,233,233,1,1,0,110029,4094,-6,-35,-28,12.55386298
3064259,13,21,110015,233,233,0,2,0,124001,4580,-10,-3,-347,11.86295257
3057867,15,2,110018,308,233,1,1,0,110092,4550,-11,0,-29,10.57838859
2870652,10,3,560011,233,245,1,1,0,560102,4460,-1,-340,-219,13.33601219
2920134,10,3,560011,233,245,0,1,0,560062,4460,-2,-1,-338,12.42672084
2866111,13,21,110015,233,233,0,1,0,122002,4580,-4,-3,-285,12.74720161
2908430,10,3,560011,233,233,0,2,0,570029,4460,-5,0,-65,13.60220628
2920849,13,22,400104,233,233,0,2,0,462043,4581,-4,-5,-268,13.69025112
2884266,6,5,380009,233,245,0,1,0,380008,4039,-2,-2,-362,13.82255115
2819466,13,4,600024,233,233,0,2,0,636016,4490,-4,41,-273,15.07416154
2858437,13,17,800001,233,233,0,1,0,800001,4538,-4,-77,-67,13.42797985
3050523,15,2,110018,308,233,0,1,0,110027,4550,-2,-12,-297,10.47822994
2876140,13,22,400104,233,245,0,2,0,385001,4581,-4,-9,-155,13.42498162
2824732,9,7,500004,233,233,0,1,0,501505,4474,-2,0,-37,13.13070656
2839241,6,17,800001,233,233,0,3,0,824124,4538,-3,-3,-353,14.98393469
2868409,13,22,400104,233,233,0,1,0,401101,4581,-12,-2,-28,13.04203499
2907041,16,1,400059,233,233,0,1,0,700029,4511,-4,-60,-47,15.18429352
2844455,13,7,500004,233,233,0,2,0,517501,4403,-8,-2,-609,15.41047622
2867312,15,1,400059,233,233,0,1,0,400104,4545,-5,0,-31,13.11540326
2972765,13,22,400104,0,233,0,4,0,382022,4581,-4,-1,-210,15.80529524
2983511,15,2,110018,233,233,0,1,0,110037,4550,-14,-5,-414,12.29340046
2857281,13,3,560011,233,233,0,1,0,560037,4467,-4,0,-328,13.61009327
3051964,10,23,400001,233,233,0,1,0,400052,4398,-4,-9,-11,11.01820516
2981162,13,21,110015,233,233,0,1,0,121004,4580,-7,-2,-320,11.6450154
3014945,13,26,560066,201,233,0,4,0,630606,5001,-3,-149,-89,13.39149801
2999197,10,27,110034,233,233,0,1,0,110095,4388,-13,-3,-286,11.99432689
2829017,10,7,500004,233,233,0,1,0,500019,4474,-7,-28,-289,13.6479608
2848996,9,3,560011,233,233,0,1,0,560026,4460,-5,0,-59,13.1156645
2870108,13,22,400104,233,233,0,2,0,395006,4581,-2,-5,-339,13.71562903
2859591,10,2,110018,233,233,0,1,0,122017,4388,-5,-162,-55,13.33517557
2861847,10,3,560011,233,233,1,1,0,560093,4460,-8,-194,-32,13.49134712
2880678,10,2,110018,233,233,1,1,0,122017,4388,-4,-323,-40,13.28695642
2872297,13,22,400104,233,233,0,3,0,442605,4581,-3,-1,-255,14.96118621
2930663,13,21,110015,233,233,0,3,0,141115,4580,-4,-75,-251,14.15480815
2936017,10,23,400001,233,233,0,1,0,411023,4398,-6,0,-330,12.68795558
2940545,28,3,560011,233,233,1,1,0,560049,4465,-2,-293,-50,14.5237165
2887249,5,9,411016,233,233,1,2,0,414001,4023,-16,-19,-197,15.36108659
2978501,12,2,110018,308,233,1,1,0,122003,4092,-1,-323,-18,12.94571978
3013507,32,5,380009,201,233,0,4,0,382750,4039,-7,-28,-24,18.4912165
3035976,10,6,160059,233,233,1,2,0,160047,4437,-2,-17,-273,11.93081897
3057218,13,26,560066,233,233,0,2,0,603002,5001,-2,-3,-292,10.53278374
3086262,10,23,400001,233,233,1,1,0,400093,4398,-1,-310,-143,11.05896331
3078906,13,22,400104,233,233,0,1,0,401208,4581,-7,-3,-280,10.71427893
2822707,13,21,110015,233,245,0,1,0,110007,4580,-9,-5,-109,13.12061292
2874119,10,3,560011,233,245,1,2,0,590010,4460,-6,-288,-39,14.4724974
2879096,13,11,641012,201,201,0,4,0,691005,4495,-4,-6,-82,16.82477236
3041893,5,2,110018,233,233,1,3,0,335001,4093,-4,-165,-335,15.52443606
3085048,13,26,560066,233,233,1,1,0,560098,5001,-2,-247,-311,9.346437583
2833586,13,21,110015,201,233,0,0,0,331802,4580,-18,-3,-321,14.55770683
3029632,10,27,110034,233,233,0,2,0,136027,4388,-10,-49,-151,12.62680108
2953931,13,8,700064,233,233,0,1,0,700006,4508,-2,-58,-86,12.32084941
2946014,13,4,600024,233,233,0,1,0,600069,4490,-2,-11,-134,12.36338241
3011371,10,23,400001,308,233,0,1,0,400070,4398,-19,-1,-378,11.95101651
3084072,13,21,110015,233,233,0,1,0,110068,4580,-3,-3,-365,10.29622861
2896365,13,8,700064,233,233,1,1,0,700046,4508,-1,-156,-39,13.0124687
3021704,15,12,302006,233,233,0,2,0,342001,4453,-3,-6,-126,12.91131975
2904158,13,7,500004,233,233,0,1,0,500008,4403,-3,-6,-144,13.10586243
3035437,15,2,110018,233,233,1,2,1,125001,4091,-9,-15,-435,29.80976879
2870227,13,2,110018,233,233,0,1,0,110085,4147,-7,-2,-87,14.25165807
3013338,10,27,110034,308,233,1,1,0,122001,4388,-3,0,-296,11.01487806
2848947,13,21,110015,233,233,0,2,0,131001,4580,-5,-8,-275,13.99085337
2846763,10,2,110018,233,233,1,1,0,121006,4388,-8,-6,-173,13.45797896
2883269,13,2,110018,233,233,1,1,0,110096,4147,-5,-98,-52,14.13316639
2843740,15,12,302006,233,233,1,2,0,334001,4453,-13,-95,-126,15.37893725
2904312,1,12,302006,233,233,1,1,0,302026,4459,-2,-372,-18,11.77811252
2924654,32,4,600024,233,233,0,1,0,600078,4490,-9,-10,-82,15.00398111
2938914,10,2,110018,233,233,1,1,0,201001,4388,-7,-188,-27,13.15510552
2822482,6,1,400059,233,233,0,1,0,400705,4581,-34,-3,-381,14.05066352
2943376,13,22,400104,233,233,0,1,0,400607,4581,-4,-1,-659,12.34326503
2979916,13,21,110015,233,233,0,3,0,143105,4580,-5,0,-46,13.40626428
3041172,13,21,110015,308,233,0,1,0,110051,4580,-4,0,-184,10.20499365
3049892,10,27,110034,233,233,0,1,0,110060,4388,-2,-1,-293,10.94514665
3034718,10,25,560037,233,233,0,1,0,600030,4460,-3,-366,-74,11.9371672
3054515,10,25,560037,233,233,0,1,0,600092,4460,-5,-2,-340,11.47126626
3011372,15,9,411016,233,233,1,1,0,411028,4548,-8,-667,-293,12.86615191
2931879,32,5,380009,233,245,0,2,0,360001,4039,-21,-244,-106,18.04367828
3061051,10,25,560037,308,245,0,1,0,560048,4460,-5,0,-355,10.54771944
2838851,13,21,110015,233,233,0,1,0,110063,4580,-2,-5,-176,12.78541995
2883744,13,21,110015,233,233,0,3,0,143505,4580,-3,-252,-42,14.74360385
3003851,13,2,110018,308,245,1,1,0,110017,4580,-2,-174,-23,10.57334746
2865482,10,8,700064,233,233,0,1,0,700156,4499,-3,-2,-7,12.8852109
2949800,13,7,500004,233,233,0,1,0,500079,4403,-10,-2,-302,13.04079016
2909787,12,2,110018,233,233,1,1,0,110043,4092,-1,-168,-202,13.97807653
2854751,13,21,110015,233,233,0,1,0,110049,4580,-3,-1,-221,12.68570286
